role,skills
Frontend Developer,"HTML,CSS,JavaScript,TypeScript,React,Next.js,Tailwind CSS,Redux,Git,GitHub,Figma,REST API,Responsive Design"
Backend Developer,"Python,Node.js,Express.js,REST API,SQL,PostgreSQL,MongoDB,Docker,Git,Linux,JWT,API Design"
Full Stack Developer,"HTML,CSS,JavaScript,TypeScript,React,Node.js,Express.js,MongoDB,PostgreSQL,REST API,Docker,Git,GitHub"
MERN Stack Developer,"MongoDB,Express.js,React,Node.js,JavaScript,TypeScript,Redux,REST API,JWT,Git,Docker"
MEAN Stack Developer,"MongoDB,Express.js,Angular,Node.js,TypeScript,REST API,JWT,Git,Docker"
React Developer,"React,JavaScript,TypeScript,HTML,CSS,Redux,Next.js,Tailwind CSS,REST API,Git,Figma"
Next.js Developer,"Next.js,React,TypeScript,JavaScript,Tailwind CSS,REST API,PostgreSQL,Vercel,Git"
Vue.js Developer,"Vue.js,JavaScript,TypeScript,HTML,CSS,REST API,Node.js,Git,Tailwind CSS"
Node.js Developer,"Node.js,Express.js,JavaScript,TypeScript,MongoDB,PostgreSQL,REST API,Docker,Git,JWT,Redis"
Python Developer,"Python,Django,Flask,FastAPI,PostgreSQL,MongoDB,REST API,Docker,Git,SQL,Linux"
Django Developer,"Django,Python,PostgreSQL,REST API,HTML,CSS,Docker,Git,Redis,Celery"
FastAPI Developer,"FastAPI,Python,PostgreSQL,REST API,Docker,JWT,Redis,Git,Pydantic"
Java Developer,"Java,Spring Boot,PostgreSQL,REST API,Docker,Maven,Git,Microservices,SQL"
Machine Learning Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Scikit-learn,Pandas,NumPy,SQL,Git,Docker,Jupyter,MLOps"
Deep Learning Engineer,"Python,Deep Learning,TensorFlow,PyTorch,Keras,OpenCV,NLP,Computer Vision,Pandas,NumPy,GPU,CUDA,Git"
AI Engineer,"Python,Machine Learning,Deep Learning,LangChain,OpenAI API,LLM,Prompt Engineering,RAG,Vector Database,FastAPI,Docker,Git"
Data Scientist,"Python,Machine Learning,Pandas,NumPy,Scikit-learn,SQL,Matplotlib,Seaborn,Tableau,Statistics,Jupyter,Git"
Data Analyst,"SQL,Python,Pandas,Excel,Tableau,Power BI,Data Visualization,Data Analysis,Statistics,Git"
Data Engineer,"Python,Apache Spark,SQL,ETL,AWS,Docker,Airflow,PostgreSQL,Hadoop,Git,Linux"
NLP Engineer,"Python,NLP,Deep Learning,TensorFlow,PyTorch,Hugging Face,LangChain,Transformers,BERT,Git"
Computer Vision Engineer,"Python,Computer Vision,OpenCV,Deep Learning,PyTorch,TensorFlow,YOLO,Image Processing,Git"
LLM Engineer,"Python,LLM,LangChain,OpenAI API,Hugging Face,RAG,Vector Database,Prompt Engineering,FastAPI,Docker,Git"
DevOps Engineer,"Docker,Kubernetes,AWS,CI/CD,Jenkins,Terraform,Linux,Git,GitHub Actions,Nginx,Monitoring"
Cloud Engineer,"AWS,Azure,Google Cloud,Docker,Kubernetes,Terraform,CI/CD,Linux,Git,Networking"
Site Reliability Engineer,"Linux,Docker,Kubernetes,AWS,Monitoring,CI/CD,Python,Git,Terraform,Networking"
Mobile Developer,"React Native,Flutter,JavaScript,Dart,REST API,Firebase,Git,Android,iOS"
React Native Developer,"React Native,JavaScript,TypeScript,React,Redux,REST API,Firebase,Expo,Git"
Flutter Developer,"Flutter,Dart,REST API,Firebase,Git,Android,iOS,State Management"
Android Developer,"Android,Kotlin,Java,REST API,Firebase,Git,SQL,Material UI"
iOS Developer,"iOS,Swift,Xcode,REST API,Firebase,Git,Objective-C,CoreData"
Cybersecurity Engineer,"Cybersecurity,Penetration Testing,Linux,OWASP,Networking,Python,Encryption,Git,Bash"
Blockchain Developer,"Blockchain,Solidity,Web3.js,Smart Contracts,Ethereum,JavaScript,React,Git,Node.js"
UI/UX Developer,"Figma,HTML,CSS,JavaScript,React,Tailwind CSS,Design Patterns,Prototyping,Git"
Software Engineer,"Python,JavaScript,Data Structures,Algorithms,OOP,Design Patterns,Git,SQL,REST API,System Design"
System Design Engineer,"System Design,Microservices,API Design,Docker,Kubernetes,AWS,PostgreSQL,Redis,Kafka,Git"
